"Company 
(Maker-if known)",SpecificBeanOriginorBarName,REF,"Review
Date",CocoaPercent,CompanyLocation,Rating,"Bean
Type",BroadBeanOrigin,Secondary Origin,,,
Bahen & Co.,Houseblend,1474,2015,80%,Australia,3.25, , ,,,,
Bahen & Co.,Houseblend,999,2012,70%,Australia,2.5,Blend, ,,,,
Zokoko,Goddess Blend,1780,2016,65%,Australia,3.25, , ,,,,
Zotter,Raw,1205,2014,80%,Austria,2.75, , ,,,,
Zotter,Amazonas Frucht,801,2012,65%,Austria,3.5, , ,,,,
Zotter,"Indianer, Raw",883,2012,58%,Austria,3.5, , ,,,,
Cote d' Or (Kraft),Sensations Intense,48,2006,70%,Belgium,1, , ,,,,
Dolfin (Belcolade),Noir,63,2006,70%,Belgium,1.5, , ,,,,
Neuhaus (Callebaut),Dark,135,2007,73%,Belgium,1, , ,,,,
Habitual,Campesino w/ nibs,1197,2014,74%,Canada,2.75, , ,,,,
Habitual,Trinitario,1197,2014,70%,Canada,3.5,Trinitario, ,,,,
Habitual,Downtown London,1201,2014,65%,Canada,2.75, , ,,,,
Habitual,Africa meets Latina,1201,2014,70%,Canada,3, , ,,,,
Habitual,Amazonas,1201,2014,80%,Canada,3, , ,,,,
Habitual,one hundred,1205,2014,100%,Canada,2, , ,,,,
Marigold's Finest,Cacao Nib Crunch,1808,2016,75%,Canada,3.25, , ,,,,
Soma,Chef's Blend,1077,2013,70%,Canada,3.25, , ,,,,
Bernachon,Nature,797,2012,55%,France,2.75, , ,,,,
Bonnat,One Hundred,81,2006,100%,France,1.5, , ,,,,
Chloe Chocolat,Blend No. 1,672,2011,70%,France,3.5, , ,,,,
Kaoka (Cemoi),Noir,404,2009,70%,France,2.75, , ,,,,
La Maison du Chocolat (Valrhona),Kuruba,439,2009,60%,France,3, , ,,,,
La Maison du Chocolat (Valrhona),Orinoco,445,2009,60%,France,3.75, , ,,,,
Michel Cluizel,Carre Amer,24,2006,60%,France,2, , ,,,,
Michel Cluizel,Carre Grand Noir,24,2006,85%,France,2, , ,,,,
Michel Cluizel,Noir Infini,81,2006,99%,France,2, , ,,,,
Valrhona,"Andoa, Grand Cru blend",1145,2013,70%,France,3.5, , ,,,,
Valrhona,Caraque,709,2011,56%,France,3.25, , ,,,,
Valrhona,Le Noir Extra Amer,147,2007,85%,France,1.5, , ,,,,
Amedei,Nine,111,2007,75%,Italy,4,Blend, ,,,,
Amedei,Toscano Black,170,2007,63%,Italy,3.5,Blend, ,,,,
Amedei,Toscano Black,40,2006,70%,Italy,5,Blend, ,,,,
Amedei,Toscano Black,75,2006,66%,Italy,4,Blend, ,,,,
C-Amaro,"Lago di Como, Blu",1442,2014,70%,Italy,3.5,Blend, ,,,,
Domori,Blend No. 1,272,2008,78%,Italy,3.5,Blend, ,,,,
Domori,Ilblend,272,2008,70%,Italy,3.75,Blend, ,,,,
S.A.I.D.,100 percent,615,2010,100%,Italy,1.5, , ,,,,
S.A.I.D.,Latino,615,2010,72%,Italy,3.5, , ,,,,
Raw Cocoa,Raw,867,2012,70%,Poland,2.5,Criollo, ,,,,
Blanxart,Organic Dark,322,2009,72%,Spain,2.75, , ,,,,
Chocovic,Kendari,439,2009,60%,Spain,3.25, , ,,,,
Chocovic,Tarakan,439,2009,75%,Spain,3.25, , ,,,,
Chocovic,Maragda,117,2007,70%,Spain,3,Blend, ,,,,
Felchlin,Supremo- SF,105,2006,62%,Switzerland,2, , ,,,,
Lindt & Sprungli,Excellence (US Version),157,2007,85%,Switzerland,3, , ,,,,
Original Beans (Felchlin),"Grand Cru Blend No.1, 5 yr. Anniversary Ed",1442,2014,80%,Switzerland,3.25,Blend, ,,,,
Green & Black's (ICAM),Dark,15,2006,70%,U.K.,2.5, , ,,,,
Burnt Fork Bend,Blend,1303,2014,72%,U.S.A.,3.25,Blend, ,,,,
Chocolate Alchemist-Philly,"Philly Blend, 5 plantations",1772,2016,80%,U.S.A.,2.5, , ,,,,
Dandelion,"Zorzal Reserva, 2015 H., Kerchner",1816,2016,70%,U.S.A.,3.75, , ,,,,
Ethel's Artisan (Mars),Red Vanilla,666,2011,62%,U.S.A.,2.75, , ,,,,
Guittard,"Epique, Blend No. 49",1602,2015,70%,U.S.A.,3.75, , ,,,,
Guittard,Coucher du Soleil,654,2011,72%,U.S.A.,2.75, , ,,,,
Guittard,Lever du Soleil,654,2011,61%,U.S.A.,3.25, , ,,,,
Guittard,Onyx,654,2011,72%,U.S.A.,3.25, , ,,,,
Guittard,Nocturne,387,2009,91%,U.S.A.,3, , ,,,,
Guittard,Complexite,387,2009,70%,U.S.A.,3.5,Blend, ,,,,
Guittard,Special Maker Reserve,276,2008,64%,U.S.A.,3, , ,,,,
Guittard,Quetzalcoatl,147,2007,72%,U.S.A.,3.5,Blend, ,,,,
Guittard,Tsaranta,93,2006,61%,U.S.A.,3.5,Blend, ,,,,
Guittard,Semisweet,99,2006,61%,U.S.A.,3,Blend, ,,,,
Mast Brothers,Brooklyn Blend,672,2011,72%,U.S.A.,3.5, , ,,,,
Middlebury,Houseblend,887,2012,65%,U.S.A.,1.5, , ,,,,
Patric,Signature Blend,636,2011,70%,U.S.A.,3.75,Blend, ,,,,
Ritual,"Mid Mountain, 2014",1466,2015,70%,U.S.A.,3.5,Blend, ,,,,
Scharffen Berger,Nibby,135,2007,62%,U.S.A.,3, , ,,,,
Scharffen Berger,Extra Dark,15,2006,82%,U.S.A.,2, , ,,,,
Scharffen Berger,Bittersweet,15,2006,70%,U.S.A.,3.5,Blend, ,,,,
Scharffen Berger,Semisweet,56,2006,62%,U.S.A.,3,Blend, ,,,,
Solstice,Wasatch,1161,2013,70%,U.S.A.,3.5,Blend, ,,,,
TCHO,TCHOPro 60.5,387,2009,60%,U.S.A.,2.75, , ,,,,
TCHO,TCHOPro 68,387,2009,68%,U.S.A.,3, , ,,,,
Zak's,"House Blend, Batch 2",1582,2015,60%,U.S.A.,3, , ,,,,
La Maison du Chocolat (Valrhona),"Cuana, 2013",1121,2013,74%,France,2.75, ,Africa, Carribean, C. Am.,,
Daintree,Goodman Estate,1654,2015,70%,Australia,2.75, ,Australia,,,,
